Area,Course,Date,Skills,Technology,Group,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Business,Spying with SEO Tools,20/05/2015,Marketing,Concepts,,,,Yes,Anson Alexander,Linkedin,1,0,1,United States
Project Management,Managing Small Projects ,19/05/2015,Agile,Concepts,,,,Yes,Bonnie Biafore,Linkedin,1.5,0,1.5,United States
Project Management,Becoming a Triple Threat Project Manager,18/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,0.5,0,0.5,United States
Project Management,Agile Project Management,17/05/2015,Agile,Concepts,,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Project Management,Managing Project Stakeholders,17/05/2015,PMBOK,Concepts,,,,Yes,Terri Wagner,Linkedin,1,0,1,United States
Project Management,Managing Project Procurement,16/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,1.5,0,1.5,United States
Project Management,Managing Project Quality,16/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,1.5,0,1.5,United States
Project Management,Project Management Fundamentals,16/05/2015,PMBOK,Concepts,,,,Yes,Bonnie Biafore,Linkedin,3,0,3,United States
Project Management,Managing Project Budget,15/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Project Management,Managing Project Change ,15/05/2015,PMBOK,Concepts,,,,Yes,Doug Rose,Linkedin,1,0,1,United States
Project Management,Managing Project Communication,15/05/2015,PMBOK,Concepts,,,,Yes,Doug Rose,Linkedin,1.5,0,1.5,United States
Project Management,Managing Project Risk,15/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Project Management,Managing Project Teams,15/05/2015,PMBOK,Concepts,,,,Yes,Bob McGannon,Linkedin,1.5,0,1.5,United States
Business,Presentation Fundamentals,14/05/2015,Marketing,Concepts,,,,Yes,Tatiana Kolovou,Linkedin,1.5,0,1.5,United States
Business,Developing Executive Presence,27/04/2015,Sales,Concepts,,,,Yes,John Ullmen,Linkedin,1.5,0,1.5,United States
Data Science,Hadoop Fundamentals ,24/04/2015,Data Management,Spark,Software,,,Yes,Lynn Langit,Linkedin,5,10,15,United States
Information technology,Managing Documents with Sharepoint 2013,24/04/2015,Web Development,Sharepoint,Packages,,,Yes,Mark Abdelnour,Linkedin,2,0,2,United States
Information technology,Sharepoint Designer 2013 : Custom Workflows,21/04/2015,Web Development,Sharepoint,Packages,,,Yes,Gini Courter,Linkedin,7,0,7,United States
Business,Sales Fundamentals,14/04/2015,Sales,Concepts,,,,Yes,Jeff Blomfield,Linkedin,1,0,1,United States
Project Management,Microsoft Project Web Application 2013,14/04/2015,MS Project,Concepts,,,,Yes,John Riopel,Linkedin,1.5,0,1.5,United States
Business,Foundation of Teaching with Technology,13/04/2015,Teaching,Concepts,,,,Yes,Kevin Kelly,Linkedin,2.5,5,7.5,United States
Information technology,Sharepoint 2013 New Features,13/04/2015,Web Development,Sharepoint,Packages,,,Yes,Gini Courter,Linkedin,2.5,0,2.5,United States
Project Management,Managing Technical Teams,13/04/2015,Agile,Concepts,,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Business,Speed Reading Fundamentals,31/03/2015,Productivity,Concepts,,,,Yes,Paul Nowak,Linkedin,1,0,1,United States
Business,Competitive Strategy Fundamentals,24/03/2015,Productivity,Concepts,,,,Yes,Anil Gupta,Linkedin,1,0,1,United States
Business,Google Calendar Essential Training,24/03/2015,Productivity,Google Calendar,,,,Yes,Jess Stratton,Linkedin,1.5,3,4.5,United States
Business,Communication Across Cultures,24/03/2015,Team Building,Concepts,,,,Yes,Tatiana Kolovou,Linkedin,0.5,0,0.5,United States
Data Science,Techniques and Concepts of Big Data,24/03/2015,Data Management,Concepts,,,,Yes,Barton Poulson,Linkedin,2.5,5,7.5,United States
Business,Business Writing Fundamentals,19/03/2015,Concepts,Concepts,,,,Yes,Judy SteinerWillians,Linkedin,1.5,0,1.5,United States
Business,Writing Business Reports,19/03/2015,Concepts,Concepts,,,,Yes,Judy SteinerWillians,Linkedin,2,0,2,United States
Business,Outlook 2010  Time Management with Calendar and Tasks,19/03/2015,Productivity,Time Management,,,,Yes,Gini Courter,Linkedin,2.5,5,7.5,United States
Business,Leading Produtive Meetings,18/03/2015,Productivity,Concepts,,,,Yes,Dave Crenshaw,Linkedin,1.5,0,1.5,United States
Business,Pitching Projects and Products to Executives,18/03/2015,Sales,Concepts,,,,Yes,Dane Howard,Linkedin,1,0,1,United States
Information technology,Cloud Computing First Look,18/03/2015,Cloud computing,Concepts,Infrastructure,,15,Yes,David Rivers,Linkedin,1.5,3,4.5,United States
Business,Building an Integrated Online Marketing Plan,13/03/2015,Marketing,Concepts,,,,Yes,Matt Bailye,Linkedin,3,0,3,United States
Business,Public Speaking Fundamental,13/03/2015,Marketing,Concepts,,,,Yes,Laura Bergells,Linkedin,1,0,1,United States
Business,Building Trust,13/03/2015,Team Building,Concepts,,,,Yes,Brenda Bailye Hughes,Linkedin,1,0,1,United States
Business,Millonaire Mind  The Secret Psychology of Wealth,11/01/2015,Finances,Concepts,,,,No,T.Harv Eker's,Success Resources,32,0,32,United Kingdown
Business,The sales Explosion Program,10/01/2015,Sales,Concepts,,,,No,Blair Singer,Success Resources,16,0,16,United Kingdown
Information technology,Became an Android  Developer from Scratch,10/01/2015,Coding,Android,Software,,,Yes,Adam Lupo,Udemy,12.5,25,37.5,United Kingdown
Information technology,SAP UX  Strategy Workshop,10/01/2015,ERP,SAP,Packages,,,No,Blue Stonex  SAP  Germany,BlueStonex,4,8,12,United Kingdown
IT Governance,ITIL Foundation,10/01/2015,Services,ITIL v.3,,,,Yes,Mark Thomas,Lynda,8,0,8,United States
Project Management,Transitioning Waterfall to Agile Project Management,10/01/2015,Agile,Concepts,,,,Yes,Kelley O'Connel,Linkedin,2,0,2,United States
Business,Building Self Confidence,09/01/2015,Concepts,Concepts,,,,Yes,Todd Duwett,Linkedin,1,0,1,United States
Business,Overcoming Your Fear of Public Speech,09/01/2015,Marketing,Concepts,,,,Yes,Todd Duwett,Linkedin,1,0,1,United States
Business,Personal Branding,09/01/2015,Marketing,Concepts,,,,Yes,Lorrie Thomas Ross,Linkedin,1,0,1,United States
Business,Fundamentals of logistics,09/01/2015,Productivity,Concepts,,,,Yes,Steven Brown,Linkedin,2,0,2,United States
Business,Top 5 Speed Reading Tips,09/01/2015,Productivity,Concepts,,,,Yes,Paul Nowak,Linkedin,1,0,1,United States
Business,Body Language for Leaders,09/01/2015,Team Building,Concepts,,,,Yes,Carol Kinsey Goman,Linkedin,1,0,1,United States
Business,Developing Political Sawoa,09/01/2015,Team Building,Concepts,,,,Yes,Todd Duwett,Linkedin,1,0,1,United States
Data Science,No SQL for SQL Professionals,09/01/2015,Data Management,No SQL,DataBase,,,Yes,Lynn Langit,Linkedin,4,8,12,United States
Information technology,Java Essential Training for Students,09/01/2015,Coding,Java,Software,,,Yes,Peggy Fisher,Linkedin,4,8,12,United States
Information technology,Up and Running With Java,09/01/2015,Coding,Java,Software,,,Yes,Peggy Fisher,Linkedin,4,8,12,United States
Information technology,Foundation of Cybersecurity,09/01/2015,Security,Concepts,Infrastructure,,,Yes,Malcolm Shore,Linkedin,3,6,9,United States
Information technology,User Experience Fundamentals for Webdesign,09/01/2015,Web Development,UX/UI,Software,,,Yes,Chris Noder,Linkedin,2,4,6,United States
Project Management,Agile at Work  Building Your Agile Team,09/01/2015,Agile,Concepts,,,,Yes,Doug Rose,Linkedin,2,0,2,United States
Business,Humor in the Workspace,08/01/2015,Concepts,Concepts,,,,Yes,Izzy Gessel,Linkedin,1,0,1,United States
Business,Business Etiquette Phone Mail and Text,08/01/2015,Marketing,Concepts,,,,Yes,Suzana Kaye,Linkedin,1,0,1,United States
Business,Top 5 Tips to Name Your Brand,08/01/2015,Marketing,Concepts,,,,Yes,Drew Boyd,Linkedin,2,0,2,United States
Business,Grammar Fundamentals,08/01/2015,Productivity,Concepts,,,,Yes,Judy Steiner Willians,Linkedin,2,0,2,United States
Data Science,Transition from Datawarehouse to Big data,08/01/2015,Data Management,Concepts,,,,Yes,Alan Simon,Linkedin,2,4,6,United States
Data Science,Up and Running With Tableau 2014,08/01/2015,Data Management,Tableau,Packages,,,Yes,Curt Frye,Linkedin,1,2,3,United States
Information technology,Understanding SSH,08/01/2015,Security,Criptography,Infrastructure,,,Yes,Scott Simpson,Linkedin,1,2,3,United States
Information technology,Growth Hacking Fundamentals,08/01/2015,Security,Fundamentals,Infrastructure,,,Yes,Brad Batesol,Linkedin,2,4,6,United States
Project Management,Financial for non Finantial Managers,08/01/2015,PMBOK,Concepts,,,,Yes,Jim Stice,Linkedin,2,0,2,United States
Project Management,Managing Virtual Teams,08/01/2015,Team Building,Concepts,,,,Yes,Bob Mcgannon,Linkedin,2,0,2,United States
Business,Learning to be Assertive,07/01/2015,Concepts,Concepts,,,,Yes,Chris Croft,Linkedin,1,0,1,United States
Business,The Fundamentals of Document Retention and Data Management,07/01/2015,Data Management,Concepts,,,,Yes,Willian Joseph,Linkedin,2,0,2,United States
Business,Working with Upset Customers,07/01/2015,Team Building,Concepts,,,,Yes,Jeff Toister,Linkedin,1,0,1,United States
Data Science,The Fundamentals of Document Retention and Data Management,07/01/2015,Data Management,Concepts,,,,Yes,Willian Joseph,Linkedin,2,0,2,United States
Information technology,Windows 10  New Futures,07/01/2015,Operational Systems,Windows,Infrastructure,,,Yes,Garrick Chow,Linkedin,2,4,6,United States
Information technology,Essentials of Cryptography and Network Security,07/01/2015,Security,Criptography,Infrastructure,,,Yes,Lisa Bock,Linkedin,2,4,6,United States
Project Management,Insights from a Project Manager,07/01/2015,Productivity,Concepts,,,,Yes,Bob Mcgannon,Linkedin,2,0,2,United States
Project Management,Solving Common Project Problems,07/01/2015,Productivity,Concepts,,,,Yes,Bob Mcgannon,Linkedin,1,0,1,United States
Business,Leading with Emotional Inteligence,06/01/2015,Concepts,Concepts,,,,Yes,Britt Andreatta,Linkedin,2,0,2,United States
Business,Influencing Others,06/01/2015,Marketing,Concepts,,,,Yes,John Ulmen,Linkedin,2,0,2,United States
Data Science,Wayne Wilston In Analytics,06/01/2015,Data Management,Analytics,Software,,,Yes,Wayne Wilston,Linkedin,1,2,3,United States
Information technology,Design the Web : Adding Dynamic Qrcodes,06/01/2015,Web Development,Concepts,Software,,,Yes,Chris Converse,Linkedin,1,2,3,United States
Project Management,Agile at Work  Planning With Agile User Stories,06/01/2015,Agile,Concepts,,,,Yes,Doug Rose,Linkedin,1,0,1,United States
Project Management,Agile Project Management With a Microsoft Project,06/01/2015,Agile,Concepts,,,,Yes,Bonnie Biafore,Linkedin,2,0,2,United States
Business,Business Innovation Fundamentals,05/01/2015,Inovation,Concepts,,,,Yes,Drew Boyd,Linkedin,3,0,3,United States
Business,Meeting the Chalenge of a Digital Transformation,05/01/2015,Inovation,Concepts,,,,Yes,John Mancini,Linkedin,1,0,1,United States
Business,How to Rock Social Media,05/01/2015,Marketing,Concepts,,,,Yes,Guy Kawasaky,Linkedin,1,0,1,United States
Business,Decision Making Fundamentals,05/01/2015,Productivity,Concepts,,,,Yes,Mike Figliuolo,Linkedin,1,0,1,United States
Business,The Science of Sales,05/01/2015,Sales,Concepts,,,,Yes,Jeff Bloomfield,Linkedin,1,0,1,United States
Data Science,Foundations of Business Analytics: Prescritive Analitics,05/01/2015,Data Management,Concepts,,,,Yes,Alan Simon,Linkedin,3,6,9,United States
Information technology,Cybersecurity with Cloud Computing,05/01/2015,Cloud computing,Concepts,Infrastructure,,10,Yes,Malcolm Shore,Linkedin,3,6,9,United States
Project Management,Practical Project Management for Creative Projects,05/01/2015,Agile,Concepts,,,,Yes,Jeff Blomfield,Linkedin,3,0,3,United States
Project Management,Advanced Microsoft Project,05/01/2015,MS Project,Concepts,,,,Yes,Bonnie Biafore,Linkedin,5,0,5,United States
Business,Unleash the Power within,04/01/2015,Productivity,Concepts,,,,Yes,Anthony Robbins,Success Resources,40,0,40,United Kingdown
Project Management,Microsoft Project Server 2013 Administration,04/01/2015,MS Project,Concepts,,,,Yes,John Riopel,Linkedin,2,0,2,United States
Project Management,Managing Project Schedules,04/01/2015,PMBOK,Concepts,,,,Yes,Bonnie Biafore,Linkedin,1.5,0,1.5,United States
Data Science,Machine Learning Toolbox,01/12/2014,Coding,R,Software,,,Yes,Zachary DeaneMayer,Data Camp,4,8,12,Belgium
Data Science,Introduction to Machine Learning,01/11/2014,Coding,R,Software,,,Yes,Vincent Vankrunkelsven,Data Camp,6,12,18,Belgium
Data Science,Exploratory Data Analysis,01/10/2014,Coding,R,Software,,,Yes,Andrew Bray,Data Camp,4,8,12,Belgium
Information technology,Manipulating Time Series Data in R with xts & Zoo,01/09/2014,Quant Finances,R,Software,,6,Yes,Jeffrey Ryan,Data Camp,4,8,12,Belgium
Information technology,Writing Functions in R,01/08/2014,Coding,R,Software,,,Yes,Hadley Wickham,Data Camp,4,8,12,Belgium
Data Science,Bond Valuation and Analysis in R,01/07/2014,Quant Finances,R,Software,,,Yes,Clifford Ang,Data Camp,4,8,12,Belgium
Data Science,Exploratory Data Analysis in R  Case Study,01/06/2014,Coding,R,Software,,,Yes,David Robinson,Data Camp,4,8,12,Belgium
Data Science,Foundations of Inference,01/05/2014,Statistics,R,Software,,,Yes,Jo Hardin,Data Camp,4,8,12,Belgium
Information technology,Object Oriented Programming in R: S3 and R6,01/04/2014,Coding,R,Software,,,Yes,Richie Cotton,Data Camp,4,8,12,Belgium
Information technology,Intermediate R Practice,15/03/2014,Coding,R,Software,,,Yes,Filip Schouwenaars,Data Camp,4,8,12,Belgium
Data Science,Correlation and Regression,01/03/2014,Coding,R,Software,,,Yes,Ben Baumer,Data Camp,4,8,12,Belgium
Data Science,Data Analysis in R the data.table Way,15/02/2014,Coding,R,Software,,,Yes,Matt Dowle,Data Camp,4,8,12,Belgium
Data Science,Reporting with R Markdown,01/02/2014,Coding,R,Software,,,Yes,Garrett Grolemund,Data Camp,3,6,9,Belgium
Information technology,Introduction to R for Finance,15/01/2014,Quant Finances,R,Software,,10,Yes,Andrew Bray,Data Camp,4,8,12,Belgium
Project Management,ILX  Prince 2 Foundation and Practitioner Exam preparation ,07/01/2014,PRINCE2,Concepts,,,,Yes,,ILX Group,39,0,39,United Kingdown
Project Management,MSP  Foundation and Practitioner,07/01/2014,PRINCE2,Concepts,,,,Yes,,ILX Group,39,0,39,United Kingdown
Data Science,Import Data in R (Part2),01/01/2014,Coding,R,Software,,,Yes,Filip Schouwenaars,Data Camp,3,6,9,Belgium
Information technology,Intermediate R,15/12/2013,Coding,R,Software,,,Yes,Filip Schouwenaars,Data Camp,6,12,18,Belgium
Information technology,Credit Risk Modeling in R,01/12/2013,Quant Finances,R,Software,,4,Yes,Lore Dirick,Data Camp,4,8,12,Belgium
Data Science,Import Data in R (Part1),15/11/2013,Coding,R,Software,,,Yes,Filip Schouwenaars,Data Camp,3,6,9,Belgium
Data Science,Manipulating Time Series with R:  Case Studies,01/11/2013,Coding,R,Software,,,Yes,Lore Dirick,Data Camp,4,8,12,Belgium
Data Science,Introduction to Time Series Analysis,15/10/2013,Coding,R,Software,,,Yes,David S. Matteson,Data Camp,4,8,12,Belgium
Data Science,ARIMA Modeling in R,01/10/2013,Coding,R,Software,,,Yes,Lore Dirick,Data Camp,4,8,12,Belgium
Data Science,Working with Geospatial Data in R,15/09/2013,Coding,R,Software,,,Yes,Charlotte Wickham,Data Camp,4,8,12,Belgium
Data Science,Text Mining: Bag of Words,01/09/2013,Coding,R,Software,,,Yes,Ted Kwartler,Data Camp,4,8,12,Belgium
Data Science,Unsupervised Learning in R,15/08/2013,Coding,R,Software,,,Yes,Hank Roark,Data Camp,4,8,12,Belgium
Data Science,Data Visualization with GGplot2(Part3),01/08/2013,Coding,R,Software,,,Yes,David Stoffer,Data Camp,4,8,12,Belgium
Data Science,Beginning Bayes in R,15/07/2013,Coding,R,Software,,,Yes,Jim ,Data Camp,4,8,12,Belgium
Data Science,Introduction to Portfolio Analysis with R,01/07/2013,Coding,R,Software,,,Yes,Kris Boudt,Data Camp,5,10,15,Belgium
Data Science,Data Visualization with GGplot2(Part1),15/06/2013,Coding,R,Software,,,Yes,Rick Scavetta,Data Camp,5,10,15,Belgium
Data Science,Data Manipulation in R with dplyr,01/06/2013,Coding,R,Software,,,Yes,Garrett Grolemund,Data Camp,4,8,12,Belgium
Data Science,Statistical Modeling in R(Part 1),15/05/2013,Coding,R,Software,,,Yes,Daniel Kaplan,Data Camp,4,8,12,Belgium
Data Science,Cleaning Data in R,01/05/2013,Coding,R,Software,,,Yes,Nick Carchedi,Data Camp,4,8,12,Belgium
Data Science,Financial Trading in R,15/04/2013,Quant Finances,R,Software,,,Yes,Ilya Kipnis,Data Camp,5,10,15,Belgium
Data Science,Data Visualization in R,01/04/2013,Coding,R,Software,,,Yes,Ronald Pearson,Data Camp,4,8,12,Belgium
Data Science,Importing and Manageing Financial Data in R,15/03/2013,Coding,R,Software,,,Yes,Joshua Ulrich,Data Camp,5,10,15,Belgium
Data Science,Data Visualization with GGplot2(Part2),01/03/2013,Coding,R,Software,,,Yes,Rick Scavetta,Data Camp,5,10,15,Belgium
Data Science,Joining Data in R with dplyr,15/02/2013,Coding,R,Software,,,Yes,Garrett Grolemund,Data Camp,4,8,12,Belgium
Data Science,Importing & Cleaning Data in R: Case Studies,01/02/2013,Coding,R,Software,,,Yes,Nick Carchedi,Data Camp,4,8,12,Belgium
Information technology,Intermediate R for Finance,15/01/2013,Quant Finances,R,Software,,11,Yes,Lore Dirick,Data Camp,5,10,15,Belgium
Data Science,Introduction to Data,01/01/2013,Data Management,R,Software,,,Yes,Mine CetinkayaRundel,Data Camp,4,8,12,Belgium
Information technology,Reviews and Test,18/12/2012,Quality,CMMI,Software,,,Yes,PM Practice,Wipro Technologies,16,32,48,India
Information technology,Software Configuration Management,18/12/2012,Quality,CMMI,Software,,,Yes,PM Practice,Wipro Technologies,16,32,48,India
Information technology,VelociQ 101  An Introduction to Quality at Wipro,18/12/2012,Quality,VelociQ ,Software,,,Yes,PM Practice,Wipro Technologies,16,32,48,India
Information technology,VelociQ 201,18/12/2012,Quality,VelociQ ,Software,,,Yes,PM Practice,Wipro Technologies,16,32,48,India
IT Governance,COBIT5 - Control Objectives for Information Technology,18/12/2012,Strategy,COBIT5,,,,Yes,,Knowledge Academy,24,0,24,United Kingdown
Project Management,Preparing to PMP Exam,18/12/2012,PMBOK,Concepts,,,,Yes,,Q.A,24,0,24,United Kingdown
IT Governance,CISA  Certified Information System Auditor,17/12/2012,Auditing,CISA,,,,Yes,Joseph,Knowledge Academy,32,0,32,United Kingdown
Information technology,CMMI Hight Maturity,29/10/2012,Quality,CMMI,Software,,,Yes,PM Practice,Wipro Technologies,16,32,48,India
Project Management,Program Framework,20/10/2012,PMBOK,Concepts,,,,Yes,,Wipro Technologies,16,0,16,India
Business,Diversity and Inclusion Training Program,19/10/2012,Team Building,Concepts,,,,Yes,Web,Wipro Technologies,8,0,8,India
Project Management,PMP  Exam Preparation OnLine ,10/01/2012,PMBOK,Concepts,,,,Yes,,RMC  Project Management,35,0,35,United Kingdown
Business,Lean,06/01/2012,Quality,Concepts,,,,No,Web,Wipro Technologies,16,0,16,India
Information technology,SAP BI   Business Inteligence,11/01/2011,ERP,SAP,Packages,,,No,,KPS Global,40,80,120,United Kingdown
IT Governance,ITIL Foundation Certification,10/01/2011,Services,ITIL v.3,,,,Yes,,Thougth Rock,24,0,24,United Kingdown
Project Management,Scrum Master training,05/01/2011,Agile,Practitioner,,,,Yes,,Inspect and Adapt,24,0,24,United Kingdown
Project Management,PRINCE2  2009  Pilot,04/01/2009,PRINCE2,Concepts,,,,Yes,,APM Group,16,0,16,United Kingdown
Information technology,Microsoft Dinamycs CRM  Introduction,09/03/2008,CRM,Microsoft Dynamics,Packages,,,Yes,Helen Jones,Udemy,5,0,5,United Kingdown
Business,Stock Marketing,06/01/2008,Finances,Concepts,,,,Yes,,PUCRS,36,0,36,Brasil
Information technology,CMMI Applied,01/01/2007,Quality,CMMI,Software,,,No,,HP Consulting,8,16,24,Brasil
Information technology,Introduction to CMMI,01/01/2007,Quality,CMMI,Software,,,No,,HP Consulting,8,16,24,Brasil
Business,Master Bovespa  Stock Marketing,11/01/2006,Finances,Concepts,,,,Yes,,BOVESPA,16,0,16,Brasil
Business,Forum of Emtrepeneurs of TIC  MERCOSUL,08/01/2006,Congress,Concepts,,,,Yes,,SOFTSUL,12,24,36,Brasil
Project Management,Planning Using MSProject,12/01/2004,MS Project,Concepts,,,,Yes,,IBEC ,16,0,16,Brasil
Business,Negotiation Practical Trainning,10/01/2004,Sales,Concepts,,,,Yes,,IBEC,16,0,16,Brasil
Business,Finantial Analysis and Planning,09/01/2004,Finances,Concepts,,,,Yes,,SEBRAE,15,0,15,Brasil
Business,Workshop EMPRETEC,08/01/2004,Entrepeneurship,Concepts,,,,Yes,Fernando Gameleira,SEBRAE,80,0,80,Brasil
Project Management,Team Development,02/01/2004,Team Building,Concepts,,,,Yes,,SEBRAE,15,0,15,Brasil
Business,Learning how to Enterpreneur in the Internet,08/01/2003,Entrepeneurship,Concepts,,,,Yes,,SEBRAE,16,0,16,Brasil
Information technology,BroadVision Server Side Scripting ,06/01/2003,CRM,Broadvision,Packages,,,No,,BroadVision,16,32,48,Brasil
Information technology,BroadVision System Administration ,06/01/2003,CRM,Broadvision,Packages,,,No,,BroadVision,16,32,48,Brasil
Project Management,First National Meeting of Project Management Professinals,06/01/2003,PMBOK,Concepts,,,,Yes,,PMI,16,0,16,Brasil
Information technology,BroadVision Performance Analysis,01/01/2003,CRM,Broadvision,Packages,,,No,,BroadVision,16,32,48,Brasil
Business,Executive Business Call,12/01/2002,Sales,Concepts,,,,No,,Xerox,8,0,8,Brasil
Information technology,JAD  Joint Application Design ,06/01/2002,Productivity,Modeling,Software,,,No,,Xerox,8,16,24,Brasil
Information technology,SAP Advanced Business Application Programming (ABAP),10/01/1999,ERP,SAP,Packages,,,Yes,,Softtek,40,80,120,Brasil
Project Management,Resource of Human Element  Team Building Technique,07/01/1999,Team Building,Concepts,,,,No,,Quidan,120,0,120,Mexico
Project Management,Accelerated SAP Roadmap  ASAP,05/01/1999,ERP,Concepts,,,,Yes,,SAP,16,0,16,Brasil
Business,Enterview Training,08/01/1997,Productivity,Concepts,,,,Yes,Patricia Fradjack,Softtek,16,0,16,Brasil
Business,Sales Techniques,06/01/1997,Sales,Concepts,,,,Yes,,SEBRAE,15,0,15,Brasil
Project Management,SAP  PS  Project System,06/01/1997,ERP,Concepts,,,,No,,Softtek,16,8,24,Brazil
Project Management,Team Building  Human Element,06/01/1997,Team Building,Concepts,,,,Yes,Will Schultz,Marcondes & Consultores Associados,36,0,36,Brasil
Information technology,SQL Server  Centura,05/01/1995,Coding,Centura,Software,,,Yes,,IBPI ,40,80,120,Brasil
Business,Total Quality Management,01/01/1995,Quality,Concepts,,,,Yes,,UNESA,24,0,24,Brasil
Business,Management and Leadership,01/01/1995,Team Building,Concepts,,,,Yes,,UNESA  Universidade Estacio de Sa,24,0,24,Brasil
Business,Business Berraviour,07/01/1993,Entrepeneurship,Concepts,,,,Yes,,Centro Ana Terra,36,0,36,Brasil
Information technology,Programing  COBOL Language,10/01/1992,Coding,COBOL,Software,,,Yes,,DIDATA ,50,100,150,Brasil
Information technology,Dataflex Langiuage  Level II,10/01/1992,Coding,Dataflex,Software,,,Yes,,Intercomp,16,32,48,Brasil
Information technology,Dataflex Language  Object Oriented,10/01/1992,Coding,Dataflex,Software,,,Yes,,Intercomp,24,48,72,Brasil
Information technology,Data Modeling,09/01/1992,Data Management,Modeling,Software,,,Yes,,RCM Brasil,24,48,72,Brasil
Information technology,Programing ZIM Language  Level II,08/01/1992,Coding,ZIM,Software,,,Yes,,RCM Brasil,32,64,96,Brasil
Information technology, Mumps Programing Language,06/01/1987,Coding,Mumps,Software,,,Yes,,SENAC,20,20,40,Brasil
Information technology,Programing  BASIC Programing Language,12/01/1986,Coding,Basic,Software,,,Yes,,Process Escola de Informatica,60,60,120,Brasil
Information technology,Files Structures for Microcomputers,10/01/1985,Operational Systems,Windows,Infrastructure,,,Yes,,PUCRS,24,48,72,Brasil
